homeownership,verified_income,income_band,emp_length_bucket,state,borrower_segment_id
OWN,Not Verified,High,3-5,AK,1625
OWN,Not Verified,Upper-Mid,6-10,MD,1626
MORTGAGE,Verified,Upper-Mid,1-2,MS,1627
RENT,Source Verified,Lower-Mid,0 or less,IL,1628
MORTGAGE,Not Verified,Low,1-2,MN,1629
MORTGAGE,Verified,Low,3-5,OH,1630
OWN,Not Verified,Upper-Mid,3-5,ND,1631
RENT,Not Verified,Low,6-10,TX,1632
MORTGAGE,Not Verified,Upper-Mid,6-10,MI,1633
OWN,Verified,High,6-10,SC,1634
MORTGAGE,Verified,Lower-Mid,6-10,WI,1635
RENT,Not Verified,Upper-Mid,1-2,HI,1636
MORTGAGE,Not Verified,Lower-Mid,0 or less,MA,1637
MORTGAGE,Not Verified,Lower-Mid,0 or less,GA,1638
OWN,Verified,Lower-Mid,6-10,CA,1639
OWN,Verified,Upper-Mid,3-5,NY,1640
MORTGAGE,Not Verified,Upper-Mid,3-5,KY,1641
MORTGAGE,Source Verified,High,6-10,RI,1642
RENT,Verified,Upper-Mid,3-5,OH,1643
MORTGAGE,Source Verified,Low,,GA,1644
OWN,Not Verified,Low,1-2,CO,1645
OWN,Source Verified,Lower-Mid,0 or less,FL,1646
RENT,Source Verified,High,1-2,NY,1647
RENT,Not Verified,Low,0 or less,AZ,1648
RENT,Source Verified,Low,,MD,1649
MORTGAGE,Source Verified,Lower-Mid,3-5,MS,1650
MORTGAGE,Verified,Upper-Mid,1-2,CO,1651
OWN,Not Verified,Upper-Mid,1-2,VA,1652
OWN,Source Verified,High,0 or less,FL,1653
MORTGAGE,Verified,Low,0 or less,AL,1654
RENT,Not Verified,Low,,NY,1655
RENT,Source Verified,High,0 or less,VA,1656
RENT,Source Verified,Upper-Mid,1-2,NV,1657
OWN,Not Verified,Low,6-10,OK,1658
RENT,Not Verified,Upper-Mid,3-5,NJ,1659
OWN,Source Verified,Low,3-5,MN,1660
OWN,Not Verified,High,6-10,MD,1661
RENT,Source Verified,Upper-Mid,3-5,GA,1662
OWN,Source Verified,Lower-Mid,6-10,MS,1663
MORTGAGE,Source Verified,Low,6-10,NV,1664
OWN,Source Verified,Lower-Mid,6-10,NC,1665
OWN,Source Verified,Upper-Mid,6-10,MS,1666
OWN,Source Verified,Upper-Mid,6-10,NY,1667
MORTGAGE,Verified,Upper-Mid,,NY,1668
RENT,Not Verified,Upper-Mid,6-10,DC,1669
MORTGAGE,Not Verified,Low,6-10,CA,1670
MORTGAGE,Source Verified,Low,1-2,IN,1671
RENT,Source Verified,Upper-Mid,0 or less,CA,1672
RENT,Not Verified,Lower-Mid,0 or less,FL,1673
MORTGAGE,Not Verified,High,3-5,OR,1674
OWN,Source Verified,Upper-Mid,6-10,TX,1675
MORTGAGE,Verified,Low,1-2,GA,1676
RENT,Verified,Lower-Mid,3-5,NY,1677
RENT,Source Verified,Low,1-2,WA,1678
OWN,Not Verified,High,3-5,NY,1679
OWN,Source Verified,Upper-Mid,6-10,CA,1680
RENT,Source Verified,Low,3-5,MA,1681
MORTGAGE,Source Verified,High,3-5,CT,1682
OWN,Verified,Lower-Mid,,FL,1683
MORTGAGE,Verified,High,3-5,PA,1684
MORTGAGE,Source Verified,Low,3-5,IL,1685
OWN,Verified,Low,,PA,1686
RENT,Verified,Low,3-5,MO,1687
MORTGAGE,Not Verified,Upper-Mid,0 or less,CA,1688
MORTGAGE,Verified,Low,,TN,1689
MORTGAGE,Not Verified,Low,6-10,NC,1690
OWN,Not Verified,Upper-Mid,1-2,NV,1691
MORTGAGE,Source Verified,High,0 or less,PA,1692
RENT,Verified,Low,3-5,VA,1693
RENT,Source Verified,High,6-10,AZ,1694
MORTGAGE,Verified,Upper-Mid,3-5,VA,1695
MORTGAGE,Not Verified,Lower-Mid,1-2,IN,1696
MORTGAGE,Verified,Upper-Mid,1-2,LA,1697
MORTGAGE,Source Verified,Lower-Mid,1-2,NC,1698
OWN,Verified,Upper-Mid,,NY,1699
MORTGAGE,Not Verified,High,6-10,AK,1700
OWN,Verified,Upper-Mid,6-10,PA,1701
MORTGAGE,Not Verified,High,3-5,AL,1702
MORTGAGE,Verified,Lower-Mid,1-2,WA,1703
MORTGAGE,Not Verified,Upper-Mid,3-5,OR,1704
OWN,Verified,Low,6-10,VA,1705
OWN,Source Verified,Lower-Mid,3-5,NC,1706
MORTGAGE,Source Verified,Low,3-5,AZ,1707
RENT,Not Verified,Low,,PA,1708
RENT,Not Verified,High,1-2,PA,1709
RENT,Not Verified,Lower-Mid,1-2,ME,1710
OWN,Verified,High,6-10,CA,1711
MORTGAGE,Verified,Lower-Mid,1-2,MO,1712
MORTGAGE,Not Verified,Lower-Mid,0 or less,CA,1713
RENT,Source Verified,Low,,WA,1714
OWN,Source Verified,Lower-Mid,0 or less,RI,1715
RENT,Not Verified,Upper-Mid,6-10,MN,1716
OWN,Not Verified,Lower-Mid,1-2,IL,1717
RENT,Verified,Lower-Mid,3-5,IL,1718
OWN,Not Verified,Lower-Mid,1-2,MO,1719
MORTGAGE,Source Verified,Upper-Mid,1-2,NV,1720
MORTGAGE,Verified,Low,,MI,1721
MORTGAGE,Not Verified,High,6-10,WA,1722
RENT,Verified,Upper-Mid,3-5,WA,1723
RENT,Not Verified,High,3-5,WA,1724
MORTGAGE,Not Verified,Upper-Mid,,WI,1725
OWN,Verified,Low,,AL,1726
OWN,Not Verified,High,6-10,OH,1727
OWN,Source Verified,Low,1-2,LA,1728
RENT,Source Verified,Low,0 or less,IL,1729
OWN,Not Verified,Low,,MA,1730
RENT,Source Verified,Upper-Mid,1-2,HI,1731
RENT,Source Verified,Upper-Mid,6-10,PA,1732
RENT,Source Verified,High,0 or less,NJ,1733
MORTGAGE,Verified,Lower-Mid,6-10,AZ,1734
MORTGAGE,Not Verified,Low,0 or less,NC,1735
MORTGAGE,Verified,High,3-5,TX,1736
RENT,Not Verified,Lower-Mid,0 or less,VA,1737
RENT,Source Verified,Upper-Mid,1-2,AL,1738
RENT,Not Verified,Lower-Mid,6-10,GA,1739
MORTGAGE,Source Verified,High,6-10,LA,1740
MORTGAGE,Verified,Upper-Mid,1-2,NY,1741
MORTGAGE,Verified,Lower-Mid,,GA,1742
RENT,Source Verified,Lower-Mid,0 or less,FL,1743
OWN,Not Verified,Upper-Mid,6-10,IN,1744
RENT,Source Verified,Upper-Mid,3-5,IL,1745
MORTGAGE,Not Verified,Upper-Mid,3-5,OH,1746
MORTGAGE,Not Verified,High,3-5,VA,1747
OWN,Not Verified,Lower-Mid,0 or less,CA,1748
MORTGAGE,Source Verified,Low,3-5,WA,1749
MORTGAGE,Source Verified,Upper-Mid,1-2,NH,1750
OWN,Source Verified,Low,6-10,KY,1751
OWN,Not Verified,High,,NJ,1752
RENT,Not Verified,High,6-10,FL,1753
MORTGAGE,Verified,Low,,OK,1754
RENT,Not Verified,Low,,FL,1755
OWN,Source Verified,Lower-Mid,,NM,1756
OWN,Not Verified,Low,,FL,1757
RENT,Verified,Lower-Mid,6-10,NJ,1758
MORTGAGE,Source Verified,Upper-Mid,3-5,CT,1759
MORTGAGE,Not Verified,Upper-Mid,3-5,PA,1760
MORTGAGE,Verified,Low,6-10,TN,1761
MORTGAGE,Verified,Lower-Mid,3-5,GA,1762
RENT,Verified,Low,6-10,NY,1763
MORTGAGE,Verified,Low,,NC,1764
OWN,Source Verified,High,6-10,GA,1765
MORTGAGE,Verified,Lower-Mid,0 or less,NV,1766
RENT,Source Verified,Upper-Mid,3-5,NC,1767
RENT,Not Verified,High,0 or less,NH,1768
RENT,Source Verified,Low,0 or less,GA,1769
MORTGAGE,Verified,Lower-Mid,1-2,PA,1770
MORTGAGE,Not Verified,High,6-10,CT,1771
MORTGAGE,Not Verified,Upper-Mid,0 or less,NJ,1772
MORTGAGE,Not Verified,Lower-Mid,3-5,VA,1773
OWN,Verified,Low,,WA,1774
MORTGAGE,Not Verified,Low,6-10,AL,1775
OWN,Source Verified,Lower-Mid,6-10,CA,1776
MORTGAGE,Verified,Upper-Mid,0 or less,OR,1777
OWN,Source Verified,Lower-Mid,6-10,TN,1778
MORTGAGE,Not Verified,Lower-Mid,,AZ,1779
RENT,Verified,High,1-2,AR,1780
RENT,Not Verified,High,3-5,MA,1781
RENT,Source Verified,Upper-Mid,3-5,AK,1782
OWN,Source Verified,Lower-Mid,3-5,FL,1783
MORTGAGE,Verified,Low,,IN,1784
MORTGAGE,Not Verified,High,6-10,VT,1785
RENT,Not Verified,High,6-10,ID,1786
RENT,Source Verified,Low,3-5,AK,1787
MORTGAGE,Not Verified,Upper-Mid,3-5,IL,1788
OWN,Not Verified,Low,6-10,SC,1789
OWN,Not Verified,Low,,GA,1790
OWN,Verified,Low,,TX,1791
MORTGAGE,Verified,Low,3-5,NC,1792
MORTGAGE,Source Verified,Lower-Mid,1-2,UT,1793
MORTGAGE,Not Verified,Lower-Mid,1-2,TX,1794
RENT,Source Verified,Lower-Mid,1-2,UT,1795
MORTGAGE,Source Verified,Upper-Mid,0 or less,PA,1796
RENT,Not Verified,Lower-Mid,6-10,AZ,1797
MORTGAGE,Not Verified,Upper-Mid,1-2,MD,1798
MORTGAGE,Verified,Lower-Mid,6-10,NE,1799
MORTGAGE,Not Verified,Lower-Mid,1-2,PA,1800
OWN,Not Verified,Low,1-2,TX,1801
OWN,Verified,Lower-Mid,,AL,1802
OWN,Not Verified,Low,1-2,CA,1803
MORTGAGE,Not Verified,High,6-10,HI,1804
MORTGAGE,Verified,High,1-2,NY,1805
RENT,Source Verified,Upper-Mid,0 or less,NC,1806
OWN,Source Verified,Lower-Mid,3-5,PA,1807
RENT,Verified,Upper-Mid,0 or less,IL,1808
MORTGAGE,Not Verified,High,3-5,NE,1809
MORTGAGE,Not Verified,High,6-10,MI,1810
RENT,Source Verified,High,1-2,GA,1811
RENT,Source Verified,Lower-Mid,0 or less,MI,1812
RENT,Source Verified,Low,6-10,PA,1813
MORTGAGE,Source Verified,Upper-Mid,0 or less,WI,1814
OWN,Not Verified,Low,6-10,KS,1815
OWN,Verified,High,0 or less,GA,1816
MORTGAGE,Not Verified,Upper-Mid,6-10,ND,1817
OWN,Verified,Upper-Mid,6-10,KY,1818
RENT,Source Verified,Low,0 or less,TN,1819
MORTGAGE,Not Verified,Lower-Mid,6-10,NJ,1820
RENT,Verified,Upper-Mid,0 or less,CA,1821
MORTGAGE,Not Verified,Lower-Mid,1-2,MO,1822
RENT,Verified,Low,6-10,CT,1823
OWN,Verified,Upper-Mid,1-2,WV,1824
MORTGAGE,Source Verified,Low,1-2,AL,1825
RENT,Verified,Low,,TX,1826
MORTGAGE,Not Verified,Low,1-2,AL,1827
OWN,Not Verified,Upper-Mid,6-10,WA,1828
RENT,Verified,Low,,AR,1829
MORTGAGE,Not Verified,Lower-Mid,6-10,OR,1830
OWN,Not Verified,High,3-5,IL,1831
RENT,Verified,Low,3-5,MN,1832
RENT,Verified,Low,0 or less,IL,1833
MORTGAGE,Verified,Low,0 or less,AZ,1834
OWN,Source Verified,Low,3-5,NJ,1835
RENT,Not Verified,Upper-Mid,3-5,HI,1836
RENT,Verified,High,6-10,NC,1837
RENT,Verified,Upper-Mid,6-10,MI,1838
OWN,Source Verified,High,1-2,WA,1839
MORTGAGE,Source Verified,Low,1-2,FL,1840
MORTGAGE,Not Verified,Low,6-10,MN,1841
OWN,Verified,Low,6-10,CA,1842
MORTGAGE,Verified,Lower-Mid,3-5,CO,1843
MORTGAGE,Verified,Upper-Mid,0 or less,MI,1844
RENT,Not Verified,Lower-Mid,3-5,CT,1845
MORTGAGE,Not Verified,Low,1-2,OH,1846
MORTGAGE,Source Verified,Upper-Mid,3-5,ID,1847
RENT,Source Verified,Low,0 or less,IN,1848
OWN,Verified,Low,6-10,AL,1849
MORTGAGE,Not Verified,Low,,DE,1850
RENT,Not Verified,High,3-5,RI,1851
MORTGAGE,Not Verified,High,6-10,TN,1852
OWN,Source Verified,Lower-Mid,6-10,AR,1853
MORTGAGE,Source Verified,Upper-Mid,6-10,NM,1854
MORTGAGE,Source Verified,High,6-10,TN,1855
MORTGAGE,Source Verified,Lower-Mid,0 or less,TX,1856
OWN,Verified,High,6-10,CO,1857
RENT,Source Verified,Low,3-5,NE,1858
RENT,Source Verified,Lower-Mid,3-5,MI,1859
MORTGAGE,Verified,Lower-Mid,3-5,SD,1860
OWN,Source Verified,Low,6-10,MN,1861
MORTGAGE,Verified,Lower-Mid,6-10,GA,1862
OWN,Source Verified,Upper-Mid,3-5,FL,1863
OWN,Verified,Lower-Mid,3-5,PA,1864
RENT,Verified,Upper-Mid,1-2,OH,1865
RENT,Not Verified,Lower-Mid,3-5,OH,1866
RENT,Not Verified,High,0 or less,MN,1867
RENT,Not Verified,Upper-Mid,6-10,AZ,1868
RENT,Verified,Lower-Mid,0 or less,VA,1869
MORTGAGE,Source Verified,High,1-2,NC,1870
RENT,Not Verified,Lower-Mid,,FL,1871
MORTGAGE,Source Verified,Lower-Mid,1-2,TN,1872
MORTGAGE,Source Verified,High,1-2,AL,1873
MORTGAGE,Source Verified,Lower-Mid,0 or less,OH,1874
RENT,Not Verified,Lower-Mid,1-2,RI,1875
MORTGAGE,Not Verified,High,0 or less,IL,1876
OWN,Not Verified,High,0 or less,FL,1877
MORTGAGE,Source Verified,Low,,FL,1878
MORTGAGE,Verified,High,6-10,RI,1879
OWN,Not Verified,Lower-Mid,1-2,CA,1880
RENT,Verified,Low,6-10,LA,1881
MORTGAGE,Source Verified,High,3-5,MN,1882
RENT,Source Verified,High,6-10,WA,1883
OWN,Verified,Upper-Mid,,LA,1884
OWN,Verified,Low,,IN,1885
OWN,Not Verified,Low,6-10,WI,1886
MORTGAGE,Verified,Lower-Mid,3-5,FL,1887
RENT,Verified,Upper-Mid,6-10,NV,1888
OWN,Source Verified,Upper-Mid,6-10,NV,1889
RENT,Not Verified,Low,,KS,1890
MORTGAGE,Not Verified,High,1-2,MD,1891
MORTGAGE,Source Verified,Lower-Mid,6-10,WA,1892
MORTGAGE,Not Verified,Upper-Mid,1-2,OH,1893
OWN,Source Verified,Low,3-5,GA,1894
RENT,Verified,Low,1-2,MI,1895
MORTGAGE,Verified,Low,1-2,NC,1896
MORTGAGE,Not Verified,Low,6-10,TN,1897
OWN,Not Verified,Upper-Mid,3-5,GA,1898
RENT,Source Verified,Low,6-10,MN,1899
RENT,Not Verified,Lower-Mid,0 or less,MA,1900
RENT,Not Verified,Low,0 or less,MA,1901
MORTGAGE,Verified,Lower-Mid,6-10,OR,1902
MORTGAGE,Not Verified,Lower-Mid,0 or less,CT,1903
MORTGAGE,Not Verified,Lower-Mid,6-10,MT,1904
MORTGAGE,Not Verified,Low,6-10,IN,1905
MORTGAGE,Verified,Low,6-10,NC,1906
OWN,Source Verified,High,3-5,MO,1907
MORTGAGE,Source Verified,Lower-Mid,1-2,SC,1908
RENT,Not Verified,Upper-Mid,1-2,MD,1909
RENT,Not Verified,Lower-Mid,3-5,SC,1910
RENT,Verified,Low,,MO,1911
MORTGAGE,Verified,High,3-5,CT,1912
MORTGAGE,Verified,Low,,NY,1913
MORTGAGE,Source Verified,Upper-Mid,6-10,SC,1914
RENT,Verified,High,6-10,OR,1915
RENT,Verified,Low,0 or less,IN,1916
MORTGAGE,Verified,Low,1-2,CA,1917
MORTGAGE,Source Verified,High,6-10,NH,1918
OWN,Not Verified,Upper-Mid,6-10,SC,1919
RENT,Not Verified,Lower-Mid,0 or less,UT,1920
OWN,Not Verified,Upper-Mid,6-10,UT,1921
RENT,Not Verified,Lower-Mid,0 or less,MD,1922
RENT,Verified,Low,0 or less,MO,1923
RENT,Not Verified,Low,1-2,CT,1924
RENT,Verified,Low,3-5,SC,1925
RENT,Source Verified,Lower-Mid,6-10,IN,1926
MORTGAGE,Verified,Low,3-5,GA,1927
OWN,Verified,Lower-Mid,6-10,AZ,1928
MORTGAGE,Verified,Lower-Mid,6-10,TX,1929
OWN,Not Verified,Low,1-2,MI,1930
MORTGAGE,Not Verified,Lower-Mid,0 or less,MI,1931
MORTGAGE,Not Verified,High,0 or less,NY,1932
OWN,Source Verified,Lower-Mid,0 or less,TX,1933
MORTGAGE,Source Verified,High,6-10,MN,1934
OWN,Verified,Upper-Mid,6-10,AL,1935
RENT,Verified,Low,,WA,1936
MORTGAGE,Source Verified,Low,0 or less,WA,1937
MORTGAGE,Source Verified,Lower-Mid,6-10,UT,1938
RENT,Verified,Low,6-10,PA,1939
MORTGAGE,Source Verified,Low,0 or less,TN,1940
OWN,Verified,Upper-Mid,3-5,MT,1941
MORTGAGE,Source Verified,High,0 or less,CA,1942
MORTGAGE,Source Verified,Lower-Mid,1-2,CA,1943
RENT,Not Verified,,,MS,1944
MORTGAGE,Not Verified,Low,3-5,OH,1945
MORTGAGE,Source Verified,Low,3-5,PA,1946
MORTGAGE,Verified,Lower-Mid,1-2,VA,1947
MORTGAGE,Source Verified,Low,6-10,SC,1948
MORTGAGE,Verified,Low,1-2,WI,1949
RENT,Source Verified,Low,6-10,WI,1950
OWN,Verified,Low,1-2,GA,1951
MORTGAGE,Not Verified,High,0 or less,TX,1952
RENT,Source Verified,Upper-Mid,1-2,WA,1953
RENT,Source Verified,Low,6-10,MI,1954
OWN,Source Verified,Low,,TX,1955
RENT,Verified,Upper-Mid,3-5,MI,1956
MORTGAGE,Source Verified,Lower-Mid,3-5,NC,1957
MORTGAGE,Source Verified,Upper-Mid,6-10,NV,1958
MORTGAGE,Not Verified,Lower-Mid,6-10,AZ,1959
MORTGAGE,Verified,Low,,VA,1960
MORTGAGE,Not Verified,Upper-Mid,,ME,1961
OWN,Source Verified,Upper-Mid,1-2,TX,1962
MORTGAGE,Not Verified,Lower-Mid,0 or less,OH,1963
MORTGAGE,Source Verified,High,0 or less,UT,1964
MORTGAGE,Source Verified,High,1-2,OH,1965
MORTGAGE,Verified,High,6-10,IN,1966
MORTGAGE,Verified,Upper-Mid,3-5,IL,1967
MORTGAGE,Verified,Low,3-5,TN,1968
OWN,Not Verified,High,3-5,TX,1969
RENT,Not Verified,Low,,AL,1970
MORTGAGE,Source Verified,Lower-Mid,3-5,MN,1971
MORTGAGE,Not Verified,Upper-Mid,3-5,MO,1972
MORTGAGE,Verified,Low,,GA,1973
OWN,Verified,Upper-Mid,3-5,WV,1974
OWN,Source Verified,Lower-Mid,1-2,FL,1975
MORTGAGE,Source Verified,Upper-Mid,6-10,DE,1976
RENT,Not Verified,Upper-Mid,1-2,MI,1977
OWN,Not Verified,Low,,TN,1978
MORTGAGE,Source Verified,Upper-Mid,3-5,HI,1979
RENT,Source Verified,High,1-2,TX,1980
MORTGAGE,Source Verified,Low,6-10,HI,1981
MORTGAGE,Not Verified,Upper-Mid,6-10,AL,1982
OWN,Source Verified,High,1-2,CA,1983
MORTGAGE,Not Verified,High,1-2,AZ,1984
OWN,Not Verified,Lower-Mid,6-10,NV,1985
RENT,Not Verified,Lower-Mid,3-5,MD,1986
MORTGAGE,Not Verified,Low,,TN,1987
MORTGAGE,Source Verified,High,1-2,MT,1988
OWN,Source Verified,Upper-Mid,6-10,AK,1989
MORTGAGE,Source Verified,Lower-Mid,3-5,KS,1990
MORTGAGE,Not Verified,High,6-10,NE,1991
MORTGAGE,Not Verified,Lower-Mid,3-5,MN,1992
MORTGAGE,Not Verified,High,1-2,SC,1993
OWN,Source Verified,Upper-Mid,6-10,NM,1994
MORTGAGE,Not Verified,Upper-Mid,3-5,CO,1995
MORTGAGE,Not Verified,Lower-Mid,3-5,MS,1996
RENT,Not Verified,Lower-Mid,0 or less,WY,1997
RENT,Source Verified,Upper-Mid,1-2,MI,1998
OWN,Not Verified,High,6-10,MA,1999
RENT,Verified,Lower-Mid,0 or less,OR,2000
MORTGAGE,Source Verified,Upper-Mid,3-5,CO,2001
MORTGAGE,Source Verified,Upper-Mid,6-10,OR,2002
MORTGAGE,Not Verified,High,1-2,OK,2003
MORTGAGE,Source Verified,Low,1-2,TX,2004
MORTGAGE,Not Verified,Upper-Mid,0 or less,NC,2005
MORTGAGE,Verified,High,6-10,MO,2006
OWN,Not Verified,High,,NY,2007
RENT,Not Verified,Low,6-10,MO,2008
OWN,Verified,Low,,TN,2009
RENT,Not Verified,Upper-Mid,6-10,WA,2010
OWN,Source Verified,Upper-Mid,3-5,KY,2011
OWN,Not Verified,Upper-Mid,,AL,2012
MORTGAGE,Not Verified,Upper-Mid,1-2,GA,2013
OWN,Not Verified,High,1-2,TX,2014
RENT,Source Verified,Low,3-5,VA,2015
RENT,Not Verified,Upper-Mid,6-10,AK,2016
MORTGAGE,Not Verified,Lower-Mid,6-10,MO,2017
MORTGAGE,Verified,Upper-Mid,6-10,WV,2018
MORTGAGE,Verified,Low,3-5,KY,2019
OWN,Source Verified,Low,6-10,AR,2020
MORTGAGE,Source Verified,Lower-Mid,1-2,OH,2021
OWN,Not Verified,Low,,NC,2022
MORTGAGE,Not Verified,Lower-Mid,,CT,2023
RENT,Not Verified,Lower-Mid,6-10,CO,2024
MORTGAGE,Verified,Low,1-2,KY,2025
MORTGAGE,Source Verified,High,3-5,NY,2026
RENT,Source Verified,Lower-Mid,3-5,HI,2027
RENT,Not Verified,Lower-Mid,1-2,WA,2028
RENT,Source Verified,Lower-Mid,6-10,OH,2029
RENT,Source Verified,Low,3-5,CT,2030
RENT,Not Verified,Upper-Mid,3-5,MD,2031
MORTGAGE,Source Verified,Lower-Mid,3-5,PA,2032
MORTGAGE,Verified,Lower-Mid,1-2,NC,2033
RENT,Not Verified,Lower-Mid,1-2,NV,2034
RENT,Not Verified,High,1-2,CO,2035
OWN,Source Verified,Upper-Mid,6-10,WV,2036
RENT,Source Verified,Low,,MI,2037
MORTGAGE,Not Verified,Upper-Mid,6-10,DC,2038
OWN,Not Verified,Lower-Mid,3-5,KS,2039
MORTGAGE,Verified,High,6-10,ME,2040
MORTGAGE,Source Verified,Lower-Mid,,OR,2041
MORTGAGE,Verified,Low,1-2,LA,2042
RENT,Verified,Lower-Mid,,HI,2043
MORTGAGE,Source Verified,Lower-Mid,6-10,MS,2044
MORTGAGE,Not Verified,Lower-Mid,0 or less,VA,2045
MORTGAGE,Source Verified,Lower-Mid,1-2,NJ,2046
MORTGAGE,Source Verified,Lower-Mid,,AZ,2047
OWN,Verified,Low,3-5,WA,2048
MORTGAGE,Verified,Lower-Mid,,VT,2049
MORTGAGE,Verified,Lower-Mid,,AZ,2050
MORTGAGE,Not Verified,Lower-Mid,,AR,2051
RENT,Not Verified,Lower-Mid,3-5,VT,2052
RENT,Source Verified,Upper-Mid,0 or less,NY,2053
MORTGAGE,Source Verified,Lower-Mid,0 or less,CO,2054
OWN,Not Verified,Low,6-10,VA,2055
RENT,Verified,Upper-Mid,1-2,NJ,2056
MORTGAGE,Verified,Upper-Mid,,OH,2057
RENT,Verified,Upper-Mid,1-2,FL,2058
RENT,Source Verified,High,3-5,CO,2059
OWN,Not Verified,Upper-Mid,3-5,IN,2060
OWN,Not Verified,Low,,NV,2061
RENT,Not Verified,Low,0 or less,TX,2062
RENT,Source Verified,Upper-Mid,,NY,2063
RENT,Source Verified,Lower-Mid,0 or less,TX,2064
OWN,Source Verified,Lower-Mid,,IN,2065
RENT,Verified,Lower-Mid,1-2,UT,2066
MORTGAGE,Source Verified,Low,6-10,KS,2067
RENT,Not Verified,Low,6-10,MA,2068
MORTGAGE,Not Verified,Upper-Mid,0 or less,FL,2069
OWN,Source Verified,Low,,TN,2070
MORTGAGE,Not Verified,Lower-Mid,6-10,VA,2071
MORTGAGE,Source Verified,Low,6-10,OK,2072
RENT,Verified,High,,FL,2073
RENT,Source Verified,High,1-2,IN,2074
RENT,Not Verified,Lower-Mid,6-10,HI,2075
MORTGAGE,Verified,Upper-Mid,6-10,CO,2076
MORTGAGE,Not Verified,High,3-5,CT,2077
MORTGAGE,Verified,Low,1-2,MA,2078
MORTGAGE,Verified,Lower-Mid,6-10,MA,2079
RENT,Verified,Lower-Mid,1-2,CO,2080
OWN,Not Verified,Lower-Mid,,TX,2081
MORTGAGE,Verified,Upper-Mid,6-10,ID,2082
OWN,Verified,High,1-2,CA,2083
OWN,Source Verified,Lower-Mid,6-10,MO,2084
RENT,Source Verified,High,3-5,TX,2085
MORTGAGE,Verified,Upper-Mid,6-10,WI,2086
OWN,Not Verified,Low,3-5,MO,2087
MORTGAGE,Source Verified,High,1-2,GA,2088
RENT,Verified,High,6-10,VA,2089
OWN,Source Verified,Low,0 or less,PA,2090
MORTGAGE,Not Verified,Lower-Mid,6-10,UT,2091
MORTGAGE,Not Verified,Low,,IN,2092
RENT,Verified,Upper-Mid,3-5,VA,2093
RENT,Verified,High,6-10,PA,2094
MORTGAGE,Source Verified,Upper-Mid,,OH,2095
RENT,Verified,High,1-2,FL,2096
MORTGAGE,Source Verified,Upper-Mid,0 or less,TX,2097
RENT,Not Verified,Upper-Mid,1-2,CT,2098
OWN,Source Verified,Lower-Mid,0 or less,CT,2099
OWN,Not Verified,Lower-Mid,1-2,NJ,2100
RENT,Source Verified,Upper-Mid,1-2,KS,2101
RENT,Verified,Lower-Mid,6-10,NV,2102
MORTGAGE,Verified,Lower-Mid,6-10,NC,2103
OWN,Verified,High,3-5,VA,2104
RENT,Verified,Low,,KS,2105
MORTGAGE,Not Verified,Upper-Mid,1-2,MS,2106
OWN,Source Verified,Lower-Mid,3-5,NY,2107
RENT,Source Verified,Low,0 or less,CO,2108
OWN,Not Verified,Lower-Mid,1-2,MD,2109
MORTGAGE,Verified,Lower-Mid,,WA,2110
RENT,Source Verified,Low,6-10,AZ,2111
OWN,Verified,High,6-10,IL,2112
MORTGAGE,Verified,Lower-Mid,6-10,LA,2113
RENT,Verified,Low,1-2,IN,2114
MORTGAGE,Source Verified,High,0 or less,MD,2115
OWN,Not Verified,Upper-Mid,,NY,2116
MORTGAGE,Source Verified,Low,3-5,NE,2117
OWN,Source Verified,Low,6-10,AZ,2118
MORTGAGE,Verified,Low,1-2,MD,2119
MORTGAGE,Verified,Low,6-10,MS,2120
MORTGAGE,Verified,High,6-10,ND,2121
MORTGAGE,Verified,Low,6-10,CT,2122
MORTGAGE,Not Verified,Upper-Mid,3-5,MI,2123
RENT,Not Verified,Upper-Mid,6-10,KS,2124
RENT,Not Verified,Low,3-5,PA,2125
OWN,Verified,High,6-10,NV,2126
OWN,Source Verified,Low,6-10,PA,2127
OWN,Not Verified,Upper-Mid,6-10,OR,2128
RENT,Verified,Lower-Mid,3-5,CT,2129
OWN,Verified,Lower-Mid,3-5,CT,2130
RENT,Source Verified,Upper-Mid,,UT,2131
RENT,Verified,High,3-5,MA,2132
MORTGAGE,Source Verified,Low,,NY,2133
RENT,Not Verified,Lower-Mid,1-2,FL,2134
MORTGAGE,Verified,Lower-Mid,3-5,AZ,2135
OWN,Source Verified,Low,6-10,MI,2136
MORTGAGE,Not Verified,Lower-Mid,3-5,NJ,2137
MORTGAGE,Not Verified,Lower-Mid,0 or less,MD,2138
OWN,Source Verified,Lower-Mid,6-10,PA,2139
RENT,Verified,Low,1-2,AL,2140
RENT,Source Verified,Upper-Mid,1-2,KY,2141
OWN,Not Verified,Lower-Mid,,MD,2142
MORTGAGE,Source Verified,High,6-10,UT,2143
MORTGAGE,Source Verified,Lower-Mid,1-2,VA,2144
RENT,Source Verified,Low,,NY,2145
OWN,Verified,High,6-10,MD,2146
RENT,Not Verified,High,0 or less,CA,2147
RENT,Source Verified,Lower-Mid,0 or less,ID,2148
RENT,Verified,Low,1-2,WI,2149
MORTGAGE,Source Verified,Upper-Mid,3-5,ME,2150
MORTGAGE,Source Verified,Low,3-5,MI,2151
RENT,Source Verified,Low,,CT,2152
RENT,Verified,Upper-Mid,1-2,CA,2153
RENT,Source Verified,Lower-Mid,3-5,AZ,2154
